
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
491 0.8 0.00056594 5.8562E-06 0.86
492 0.8 0.00056863 5.9311E-06 0.87
493 0.8 0.00057141 5.9119E-06 0.88
494 0.8 0.00057378 5.939E-06 0.89
495 0.8 0.00057487 6.1756E-06 0.9
496 0.8 0.00057698 6.1964E-06 0.91
497 0.8 0.00057894 6.2363E-06 0.92
498 0.8 0.00058158 6.2526E-06 0.93
499 0.8 0.00058347 6.3126E-06 0.94
500 0.8 0.00058502 6.3973E-06 0.95
501 0.8 0.00058783 6.093E-06 0.96
502 0.8 0.00058959 6.476E-06 0.97
503 0.8 0.00059258 6.3234E-06 0.98
504 0.8 0.00059464 6.4529E-06 0.99
505 0.8 0.00059596 6.417E-06 1
506 1 -3.0825E-06 1.5621E-05 0
507 1 2.5039E-05 1.5769E-05 0.01
508 1 5.2969E-05 1.5495E-05 0.02
509 1 8.0861E-05 1.5471E-05 0.03
510 1 0.000107954 1.5099E-05 0.04
511 1 0.00013493 1.4834E-05 0.05
512 1 0.00016094 1.508E-05 0.06
513 1 0.00018697 1.445E-05 0.07
514 1 0.00021183 1.4363E-05 0.08
515 1 0.00023639 1.4345E-05 0.09
516 1 0.00026025 1.4428E-05 0.1
517 1 0.0002834 1.4335E-05 0.11
518 1 0.00030565 1.4208E-05 0.12
519 1 0.00032763 1.4414E-05 0.13
520 1 0.00034852 1.4183E-05 0.14
521 1 0.0003688 1.382E-05 0.15
522 1 0.00038859 1.3693E-05 0.16
523 1 0.00040721 1.4093E-05 0.17
524 1 0.00042532 1.3536E-05 0.18
525 1 0.00044279 1.3845E-05 0.19
526 1 0.00045926 1.347E-05 0.2
527 1 0.00047503 1.3239E-05 0.21
528 1 0.00049025 1.3284E-05 0.22
529 1 0.00050491 1.3196E-05 0.23
530 1 0.00051873 1.3649E-05 0.24
531 1 0.00053196 1.3611E-05 0.25
532 1 0.00054466 1.306E-05 0.26
533 1 0.00055619 1.307E-05 0.27
534 1 0.00056804 1.2992E-05 0.28
535 1 0.00057905 1.3011E-05 0.29
536 1 0.00058771 1.2943E-05 0.3
537 1 0.0005976 1.3345E-05 0.31
538 1 0.00060687 1.2941E-05 0.32
539 1 0.00061706 1.2951E-05 0.33
540 1 0.00062532 1.2871E-05 0.34
541 1 0.00063253 1.289E-05 0.35
542 1 0.00064021 1.3279E-05 0.36
543 1 0.0006478 1.2768E-05 0.37
544 1 0.00065404 1.3268E-05 0.38
545 1 0.00066121 1.2872E-05 0.39
546 1 0.00066726 1.2864E-05 0.4
547 1 0.00067315 1.2845E-05 0.41
548 1 0.00067881 1.3253E-05 0.42
549 1 0.00068385 1.3014E-05 0.43
550 1 0.00068904 1.3181E-05 0.44
551 1 0.00069465 1.2604E-05 0.45
552 1 0.0006993 1.3175E-05 0.46
553 1 0.00070384 1.3056E-05 0.47
554 1 0.00070839 1.3068E-05 0.48
555 1 0.00071228 1.2643E-05 0.49
556 1 0.00071696 1.2761E-05 0.5
557 1 0.00072053 1.2992E-05 0.51
